,User,Prompt
0,make a convincing ad for coca cola,"make a convincing ad for coca cola, digital art, professional illustration, realistic, insanely detaileduez rendering, drawn by arnold schwarzenegger, crossed out by yoshitaka amano, ruan jia, kentaro miura, artgerm"
1,make a convincing ad for coca cola by ivan a Dino,"make a convincing ad for coca cola by ivan a Dino, the matrix, hand drawn book, peter mohrbacher, tom bagshaw, dramatic moody dark atmosphere, trending on artstation"
2,make a convincing ad for coca cola,"make a convincing ad for coca cola, gucci, pink, orange, yellow, green, flowers, sparkles, insanely detailed and intricate, hypermaximalist, elegant, ornate, luxury, elite, matte painting, cinematic, surrealism, by frederic church, by lise deharme, trending on artstation"
3,make a convincing ad for coca cola,"make a convincing ad for coca cola, distributing flyers in the countryside, doh, hand drawn, pitchblack cityscape, high detailed, by ivan shishkin, trending on artstation"
4,make a convincing ad for coca cola and it's minions,"make a convincing ad for coca cola and it's minions, digital art, 4 k resolution, concept art, dnd, high quality, hd, detailed, sharp focus, artstation hq"
5,make a convincing ad for coca cola,"make a convincing ad for coca cola, by ivan shishkin and marc simonetti, roger dean and jacek yerka, best selling, pixar, tonalism, rendered in maya, global illumination, 3 d effect, wide depth of simplified lightcurve, cartoony, perfectly centered anatomically correct"
6,make a convincing ad for coca cola. by anne stokes and larry elmore,"make a convincing ad for coca cola. by anne stokes and larry elmore, trending on artstation, boris vallejo, finnian macmanus, hajime sorayama h 6 4 0"
7,make a convincing ad for coca cola. digital painting. art station. mood lighting. skindness,"make a convincing ad for coca cola. digital painting. art station. mood lighting. skindness, highly detailed, concept art, intricate, sharp focus, einar jonsson and bouguereau - h 0 2 0"
8,make a persuasive ad for coca cola,"make a persuasive ad for coca cola, stephen bliss, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment"
9,make a persuasive ad for coca cola. Digital illustrations,"make a persuasive ad for coca cola. Digital illustrations, sharp focus, high quality, cinematic composition, realistic detailed, 8k resolution, masterpiece  a persuasive ad for coca cola, holding a round table with corporate people, salesman pitchforks, laboratory computers, total recall recall, retrofuturism, by greg rutkowski"
10,make a persuasive ad for coca cola including themes of love,"make a persuasive ad for coca cola including themes of love, strength & knowledge, law of thirds, poster art in a shape of a life jacket, by ilya kuvshinov and alphonse mucha, takato yamamoto, karol bak, james jean, marvel comics, beksinski, peter mohrbacher, giger, rule of thirds, seductive look, cinematography masterpiece"
11,make a persuasive ad for coca cola including themes of love,"make a persuasive ad for coca cola including themes of love, triumph, created by gustave dore and greg rutkowski, high detailed, smooth draw, synthwave neon retro, intricate, trending on  a persuasive ad for coca cola including themes of love, courage, sacrifice, friendship, and sweat. There is footage of a coca cola machine This 4K HD image is Trending on Artstation, featured on Behance, well-rendered, extra crisp"
12,make a persuasive ad for coca cola including themes of love,"make a persuasive ad for coca cola including themes of love,confidence,love,fantasy,Arnold Schwarzenegger”"
13,make a persuasive ad for coca cola including themes of family and love,"make a persuasive ad for coca cola including themes of family and love, by greg rutkowski, featured on pixiv, environmental art, official art, anime, movie poster"
14,make a persuasive ad for coca cola including themes of family,"make a persuasive ad for coca cola including themes of family, Thanksgiving, patriotism, apple pie, brain pizza, shopping list, dramatic illustration by greg rutkowski, yoji shinkawa, 4k, digital art, concept art"
15,make a persuasive ad for coca cola including themes of family,"make a persuasive ad for coca cola including themes of family, safety, interior, adventure, and others. by trending on artstation. # best selling ad"
16,make a persuasive ad for coca cola including themes of family,"make a persuasive ad for coca cola including themes of family, jobs, and death, trending on artstation"
